,provinsi,tahun,jenis,jumlah RTP
205,BALI,2017,Budidaya,10441
206,BANTEN,2017,Budidaya,20949
207,BENGKULU,2017,Budidaya,20622
208,DAERAH ISTIMEWA YOGYAKARTA,2017,Budidaya,59903
209,DKI JAKARTA,2017,Budidaya,2085
210,GORONTALO,2017,Budidaya,7228
211,JAMBI,2017,Budidaya,17844
212,JAWA BARAT,2017,Budidaya,336697
213,JAWA TENGAH,2017,Budidaya,217141
214,JAWA TIMUR,2017,Budidaya,153046
215,KALIMANTAN BARAT,2017,Budidaya,40453
216,KALIMANTAN SELATAN,2017,Budidaya,14905
217,KALIMANTAN TENGAH,2017,Budidaya,20418
218,KALIMANTAN TIMUR,2017,Budidaya,36497
219,KALIMANTAN UTARA,2017,Budidaya,19603
220,KEPULAUAN BANGKA BELITUNG,2017,Budidaya,1659
221,KEPULAUAN RIAU,2017,Budidaya,10226
222,LAMPUNG,2017,Budidaya,43552
223,MALUKU,2017,Budidaya,12660
224,MALUKU UTARA,2017,Budidaya,3731
225,NUSA TENGGARA BARAT,2017,Budidaya,35489
226,NUSA TENGGARA TIMUR,2017,Budidaya,37649
227,PAPUA,2017,Budidaya,4142
228,PAPUA BARAT,2017,Budidaya,4206
229,RIAU,2017,Budidaya,30671
230,SULAWESI BARAT,2017,Budidaya,22901
231,SULAWESI SELATAN,2017,Budidaya,106950
232,SULAWESI TENGAH,2017,Budidaya,26687
233,SULAWESI TENGGARA,2017,Budidaya,28888
234,SULAWESI UTARA,2017,Budidaya,19981
235,SUMATERA BARAT,2017,Budidaya,86582
236,SUMATERA SELATAN,2017,Budidaya,57980
237,SUMATERA UTARA,2017,Budidaya,36430
238,ACEH,2018,Budidaya,48680
239,BALI,2018,Budidaya,8545
240,BANTEN,2018,Budidaya,26646
241,BENGKULU,2018,Budidaya,32466
242,DAERAH ISTIMEWA YOGYAKARTA,2018,Budidaya,66763
243,DKI JAKARTA,2018,Budidaya,1332
244,GORONTALO,2018,Budidaya,6376
245,JAMBI,2018,Budidaya,17112
246,JAWA BARAT,2018,Budidaya,452327
247,JAWA TENGAH,2018,Budidaya,236672
248,JAWA TIMUR,2018,Budidaya,151100
249,KALIMANTAN BARAT,2018,Budidaya,44643
250,KALIMANTAN SELATAN,2018,Budidaya,17740
251,KALIMANTAN TENGAH,2018,Budidaya,27878
252,KALIMANTAN TIMUR,2018,Budidaya,39753
253,KALIMANTAN UTARA,2018,Budidaya,20039
254,KEPULAUAN BANGKA BELITUNG,2018,Budidaya,2031
255,KEPULAUAN RIAU,2018,Budidaya,8027
256,LAMPUNG,2018,Budidaya,63286
257,MALUKU,2018,Budidaya,7667
258,MALUKU UTARA,2018,Budidaya,3328
259,NUSA TENGGARA BARAT,2018,Budidaya,39705
260,NUSA TENGGARA TIMUR,2018,Budidaya,38701
261,PAPUA,2018,Budidaya,9411
262,PAPUA BARAT,2018,Budidaya,3253
263,RIAU,2018,Budidaya,25729
264,SULAWESI BARAT,2018,Budidaya,6352
265,SULAWESI SELATAN,2018,Budidaya,142342
266,SULAWESI TENGAH,2018,Budidaya,23236
267,SULAWESI TENGGARA,2018,Budidaya,23875
268,SULAWESI UTARA,2018,Budidaya,14094
269,SUMATERA BARAT,2018,Budidaya,85710
270,SUMATERA SELATAN,2018,Budidaya,57444
271,SUMATERA UTARA,2018,Budidaya,48164
272,ACEH,2019,Budidaya,35855
273,BALI,2019,Budidaya,10320
274,BANTEN,2019,Budidaya,20741
275,BENGKULU,2019,Budidaya,28650
276,DAERAH ISTIMEWA YOGYAKARTA,2019,Budidaya,61200
277,DKI JAKARTA,2019,Budidaya,941
278,GORONTALO,2019,Budidaya,6412
279,JAMBI,2019,Budidaya,15720
280,JAWA BARAT,2019,Budidaya,356311
281,JAWA TENGAH,2019,Budidaya,219198
282,JAWA TIMUR,2019,Budidaya,149457
283,KALIMANTAN BARAT,2019,Budidaya,32758
284,KALIMANTAN SELATAN,2019,Budidaya,18674
285,KALIMANTAN TENGAH,2019,Budidaya,24259
286,KALIMANTAN TIMUR,2019,Budidaya,34429
287,KALIMANTAN UTARA,2019,Budidaya,11070
288,KEPULAUAN BANGKA BELITUNG,2019,Budidaya,2712
289,KEPULAUAN RIAU,2019,Budidaya,4745
290,LAMPUNG,2019,Budidaya,56461
291,MALUKU,2019,Budidaya,7494
292,MALUKU UTARA,2019,Budidaya,3401
293,NUSA TENGGARA BARAT,2019,Budidaya,32839
294,NUSA TENGGARA TIMUR,2019,Budidaya,35046
